# key	zipf — built by export_dictionary.py, do not hand-edit
ابستاق	0.00
ابسر	0.00
ابسرن	0.00
ابسروا	0.00
ابسري	0.00
ابسط	4.16
ابسطن	0.00
ابسطوا	1.20
ابسطي	1.15
ابش	1.32
ابشاي	0.00
ابشر	3.26
ابشع	3.69
ابشم	0.00
ابص	1.55
ابصار	2.59
ابصر	3.16
ابصري	0.00
ابصق	1.93
ابصقن	0.00
ابصقوا	0.00
ابصقي	0.00
ابض	0.00
ابط	2.30
ابطؤ	0.00
ابطؤن	0.00
ابطؤوا	0.00
ابطئي	0.00
ابطا	3.64
ابطاء	3.45
ابطال	4.67
ابطح	1.11
ابطر	0.00
ابطش	0.00
ابطل	3.34
ابطلن	0.00
ابطلوا	1.22
ابطلي	0.00
ابطن	1.71
ابطنة	0.00
ابعاد	3.89
ابعار	0.00
ابعاض	1.06
ابعث	3.40
ابعثن	0.00
ابعثوا	2.15
ابعثي	1.69
ابعد	4.57
ابغاء	0.00
ابغاض	0.00
ابغال	0.00
ابغض	3.13
ابغى	2.44
ابق	3.17
ابقاء	4.16
ابقتم	0.00
ابقتن	0.00
ابقع	1.26
ابقن	0.00
ابقنا	1.16
ابقوا	3.56
ابقى	4.07
ابقي	3.51
ابقين	0.00
ابك	2.79
ابكاء	1.14
ابكار	2.28
ابكر	3.36
ابكرن	0.00
ابكروا	0.00
ابكري	0.00
ابكم	2.70
ابكوا	1.97
ابكى	2.97
ابكي	3.32
ابكين	1.08
ابل	4.20
ابلاء	0.00
ابلاج	0.00
ابلاجت	0.00
ابلاجج	0.00
ابلاجوا	0.00
ابلاجي	0.00
ابلاع	0.00
ابلاغ	3.78
ابلة	1.47
ابلج	2.12
ابلد	1.27
ابلدن	0.00
ابلدوا	0.00
ابلدي	0.00
ابلس	0.00
ابلع	2.03
ابلعن	0.00
ابلعوا	0.00
ابلعي	1.97
ابلغ	4.32
ابلغن	0.00
ابلغوا	2.24
ابلغي	1.54
ابلق	1.67
ابلل	1.55
ابللن	0.00
ابله	3.82
ابلى	2.77
ابليز	0.00
ابليس	3.84
ابليسي	1.10
ابن	5.57
ابنا	2.71
ابناء	4.90
ابناك	1.32
ابنة	4.61
ابنوا	2.14
ابنوس	1.55
ابنى	2.19
ابني	4.37
ابنين	2.22
ابه	2.47
ابها	3.73
ابهاء	1.60
ابهاج	1.48
ابهار	2.58
ابهاظ	0.00
ابهام	2.86
ابهة	2.10
ابهج	2.27
ابهر	2.98
ابهظ	1.33
ابهق	0.00
ابهل	0.00
ابهم	1.72
ابهمي	0.00
ابهى	2.94
ابوا	1.21
ابواب	4.51
ابواع	0.00
ابواق	3.24
ابوال	1.57
ابوان	2.26
ابوة	2.76
ابوت	3.04
ابوديم	0.00
ابولو	3.38
ابوي	3.48
ابى	4.16
ابي	5.46
ابيات	3.60
ابياض	0.00
ابيدجان	2.98
ابيس	1.85
ابيض	4.50
ابيضاض	2.31
ابيضت	2.13
ابيضض	0.00
ابيضضتم	0.00
ابيضضتن	0.00
ابيضضنا	0.00
ابيضوا	0.00
ابيضي	0.00
ابيقوري	0.00
ابيل	2.74
ابين	3.67
اتئاد	0.00
اتا	2.46
اتاب	0.00
اتاح	3.68
اتاحة	3.80
اتاد	0.00
اتاس	0.00
اتام	0.00
اتان	1.92
اتانى	0.00
اتانين	0.00
اتاوة	2.16
اتاوى	0.00
اتاويه	0.00
اتاى	0.00
اتب	1.45
اتباع	4.18
اتبب	0.00
اتببن	0.00
اتبس	0.00
اتبع	4.01
اتبعن	1.47
اتبعي	2.58
اتت	4.45
اتثن	0.00
اتثنى	0.00
اتجار	2.69
اتجارر	0.00
اتجاه	4.57
اتجر	1.43
اتجرن	0.00
اتجروا	0.00
اتجري	0.00
اتجه	3.87
اتحاد	4.83
اتحادي	3.20
اتحادية	3.36
اتحاف	2.61
اتحد	2.75
اتحدتم	0.00
اتحدتن	0.00
اتحدنا	2.01
اتحدي	1.82
اتحف	1.32
اتحو	0.00
اتحوى	0.00
اتخاذ	4.74
اتخام	0.00
اتخذ	4.41
اتخذي	2.16
اتخم	1.30
اتراب	1.68
اتراح	0.00
اتراس	1.16
اتراع	0.00
اتراف	0.00
اترب	0.00
اتربة	2.50
اترج	0.00
اترجة	0.00
اترح	0.00
اترع	0.00
اترف	0.00
اترك	4.07
اتركن	0.00
اتركوا	3.57
اتركي	3.16
اتريوم	0.00
اتزان	2.86
اتزر	0.00
اتزن	1.20
اتزو	0.00
اتزوى	0.00
اتساخ	1.87
اتساع	3.55
اتساق	2.61
اتسام	1.56
اتساو	0.00
اتساوى	0.00
اتسخ	2.15
اتسختم	0.00
اتسختن	0.00
اتسخنا	0.00
اتسخي	0.00
اتسر	0.00
اتسع	3.18
اتسق	1.43
اتسل	0.00
اتسلى	2.18
اتسم	3.33
اتسمى	0.00
اتشاح	0.00
اتشح	1.30
اتشيوت	0.00
اتصاف	1.89
اتصال	4.73
اتصف	2.79
اتصل	4.60
اتصلتم	1.24
اتصلتن	0.00
اتصلنا	3.13
اتصلى	0.00
اتصلي	2.69
اتضاح	1.89
اتضادد	0.00
اتضاع	0.00
اتضح	4.15
اتعاب	2.86
اتعاظ	1.89
اتعال	0.00
اتعالى	1.41
اتعب	3.06
اتعبن	0.00
اتعبوا	1.04
اتعبي	0.00
اتعد	1.02
اتعس	2.68
اتعش	0.00
اتعشى	1.57
اتعظ	2.10
اتغد	0.00
اتغدى	1.64
اتفاق	4.68
اتفاقا	3.74
اتفاقي	2.62
اتفاقية	4.75
اتفق	4.15
اتفقتم	1.89
اتفقتن	0.00
اتفقنا	3.92
اتفقي	1.25
اتفه	2.66
اتق	3.09
اتقاء	2.80
اتقاد	0.00
اتقان	3.46
اتقت	0.00
اتقد	1.63
اتقن	3.38
اتقني	1.15
اتقى	2.84
اتقياء	2.27
اتكؤوا	0.00
اتكئن	0.00
اتكئوا	0.00
اتكئي	0.00
اتكا	2.07
اتكاء	1.61
اتكاتم	0.00
اتكاتن	0.00
اتكال	1.60
اتكان	0.00
اتكانا	0.00
اتكل	2.05
اتل	2.25
اتلاء	0.00
اتلاد	0.00
اتلاف	3.36
اتلاق	0.00
اتلاقى	0.00
اتلام	1.07
اتلع	0.00
اتلف	2.66
اتلون	0.00
اتلى	1.48
اتلي	1.72
اتم	3.92
اتمار	0.00
اتمام	3.88
اتمت	3.17
اتمر	1.36
اتمم	2.57
اتممن	0.00
اتمي	1.18
اتن	1.85
اتهام	4.07
اتهم	4.15
اتواء	0.00
اتوال	0.00
اتوالى	0.00
اتواه	0.00
اتوب	2.74
اتوبيس	3.03
اتوم	2.60
اتون	3.23
اتى	4.57
اتي	3.51
اتياس	1.64
اتيان	3.05
اتياه	0.00
اتيتم	1.83
اتيتن	0.00
اتينا	2.67
اثا	1.30
اثاب	1.50
اثابة	1.16
اثاث	3.61
اثار	4.76
اثارة	4.59
اثارت	4.13
اثارن	0.00
اثاروا	2.42
اثاري	0.00
اثافي	1.01
اثاقل	0.00
اثاليث	0.00
اثام	2.58
اثبات	4.40
اثبت	4.35
اثبتن	1.11
اثبتوا	2.94
اثبتي	2.40
اثبر	0.00
اثبرن	0.00
اثبروا	0.00
اثبري	0.00
اثث	1.69
اثجل	0.00
اثخان	0.00
اثخن	2.28
اثد	0.00
اثدي	0.00
اثر	4.85
اثراء	3.63
اثرار	0.00
اثرة	2.45
اثرتم	1.18
اثرتن	0.00
اثرنا	2.28
اثرى	2.95
اثري	3.42
اثرياء	3.42
اثغر	0.00
اثف	0.00
اثفية	0.00
اثقاب	0.00
اثقال	2.90
اثقب	0.00
اثقبن	0.00
اثقبوا	0.00
اثقبي	0.00
اثقفة	0.00
اثقل	3.68
اثقلن	0.00
اثقلوا	0.00
اثقلي	0.00
اثل	1.98
اثلاث	1.72
اثلاج	0.00
اثلام	1.26
اثلث	0.00
اثلج	2.38
اثم	3.44
اثماء	0.00
اثمار	1.57
اثمان	2.58
اثمة	1.66
اثمد	1.52
اثمر	2.89
اثمرتم	0.00
اثمرتن	0.00
اثمرنا	0.00
اثمري	0.00
اثمن	3.31
اثمنة	1.54
اثن	2.03
اثناء	5.49
اثنان	4.55
اثنت	2.48
اثنوا	1.61
اثنون	0.00
اثنونت	0.00
اثنونى	0.00
اثنوني	0.00
اثنى	3.66
اثني	3.57
اثنية	1.66
اثنيتم	0.00
اثنيتن	1.15
اثنين	4.90
اثنينئذ	0.00
اثنينا	1.20
اثواب	2.83
اثور	1.93
اثى	0.00
اثير	3.53
اثيرت	3.35
اثيري	1.88
اثيل	2.27
اثيم	2.52
اثينا	4.27
اثيوبيا	4.18
اجئ	1.63
اجا	1.18
اجاب	3.99
اجابة	4.31
اجابت	3.28
اجابوا	2.87
اجاج	2.35
اجاد	2.88
اجادة	2.80
اجادى	0.00
اجار	2.76
اجارة	1.94
اجارت	0.00
اجاروا	0.00
اجاز	3.24
اجازة	4.31
اجاص	1.69
اجاع	0.00
اجاعة	0.00
اجاف	0.00
اجال	1.94
اجالة	0.00
اجام	1.16
اجامل	2.18
اجانب	3.99
اجانة	0.00
اجاود	0.00
اجاويد	1.88
اجباب	0.00
اجباح	0.00
اجبار	3.75
اجباري	3.27
اجباس	0.00
اجبال	1.41
اجبب	0.00
اجببن	0.00
اجبر	4.02
اجبرن	1.11
اجبروا	2.45
اجبري	0.00
اجبل	1.05
اجبن	2.46
اجبنة	0.00
اجتاح	3.28
اجتاز	3.40
اجتبى	0.00
اجتث	1.64
اجتثاث	2.97
اجتذاب	3.09
اجتذب	2.43
اجتر	0.00
اجترا	1.30
اجتراء	0.00
اجترار	2.02
اجتراع	0.00
اجتراف	0.00
اجترح	1.77
اجترع	0.00
اجترف	0.00
اجترم	0.00
اجتز	1.41
اجتزاز	0.00
اجتشا	0.00
اجتص	0.00
اجتلاب	1.30
اجتلب	0.00
اجتلى	0.00
اجتماع	4.77
اجتماعي	4.34
اجتمر	0.00
اجتمع	4.20
اجتمعتم	1.98
اجتمعتن	0.00
اجتمعنا	3.34
اجتمعي	0.00
اجتناء	0.00
اجتناب	2.75
اجتنب	2.26
اجتنى	0.00
اجتهاد	3.00
اجتهد	3.21
اجتهدتم	0.00
اجتهدتن	0.00
اجتهدنا	2.16
اجتهدي	1.45
اجتور	0.00
اجتياح	3.50
اجتياز	3.75
اجج	2.51
اجحاف	2.29
اجحف	1.70
اجد	4.64
اجداب	0.00
اجداث	0.00
اجدار	0.00
اجدب	1.77
اجدة	1.11
اجدد	3.32
اجددن	0.00
اجدر	2.86
اجدع	2.10
اجدل	1.60
اجدى	2.66
اجذاذ	0.00
اجذاع	0.00
اجذال	0.00
اجذام	0.00
اجذب	2.04
اجذر	0.00
اجذرن	0.00
اجذروا	0.00
اجذري	0.00
اجذل	0.00
اجذم	0.00
اجر	4.22
اجرؤ	1.60
اجرؤن	0.00
اجرؤوا	0.00
اجرئي	0.00
اجرا	2.50
اجراء	5.00
اجرائي	2.72
اجراح	0.00
اجراز	0.00
اجراس	3.38
اجراف	1.34
اجرام	3.12
اجرامي	3.29
اجرب	3.09
اجربة	1.59
اجرة	4.13
اجرتم	0.00
اجرتن	0.00
اجرح	2.57
اجرحن	0.00
اجرحوا	0.00
اجرحي	0.00
اجرد	2.32
اجرر	0.00
اجررن	0.00
اجرس	0.00
اجرع	0.00
اجرعن	0.00
اجرعوا	0.00
اجرعي	0.00
اجرم	2.31
اجرمز	0.00
اجرمزت	0.00
اجرمزز	0.00
اجرمزي	0.00
اجرنا	0.00
اجرنثم	0.00
اجرنثمي	0.00
اجروا	2.21
اجرى	4.29
اجري	4.14
اجرياء	0.00
اجرين	1.47
اجز	1.78
اجزاء	4.74
اجزال	0.00
اجزل	2.32
اجزوا	0.00
اجزى	0.00
اجزي	1.44
اجزين	0.00
اجسا	0.00
اجساد	3.56
اجسام	3.68
اجسد	1.93
اجسر	0.00
اجسرن	0.00
اجسروا	0.00
اجسري	0.00
اجسم	1.20
اجش	2.35
اجشم	0.00
اجع	1.20
اجعد	1.82
اجعل	4.09
اجعلن	0.00
اجعلوا	2.96
اجعلي	3.21
اجف	1.91
اجفال	1.37
اجفان	2.11
اجفل	1.32
اجل	5.83
اجلاء	3.59
اجلاب	0.00
اجلاد	0.00
اجلاس	1.53
اجلاف	1.26
اجلال	2.86
اجلب	3.08
اجلة	2.29
اجلح	1.47
اجلد	2.11
اجلدي	0.00
اجلس	3.90
اجلسن	0.00
اجلسوا	2.32
اجلسي	2.76
اجلعب	0.00
اجلعبب	0.00
اجلعبت	0.00
اجلعبي	0.00
اجلعد	0.00
اجلعدت	0.00
اجلعدد	0.00
اجلعدي	0.00
اجلل	1.14
اجلنفع	0.00
اجلنفعي	0.00
اجلوذ	0.00
اجلولى	0.00
اجلى	2.77
اجم	1.99
اجماء	0.00
اجماد	0.00
اجماع	3.76
اجمال	2.36
اجمالا	3.50
اجمالي	4.40
اجمة	2.23
اجمد	2.65
اجمدن	0.00
اجمدوا	0.00
اجمدي	1.30
اجمع	4.27
اجمعتم	0.00
اجمعتن	0.00
اجمعن	0.00
اجمعنا	1.93
اجمعوا	2.66
اجمعون	1.74
اجمعي	2.36
اجمل	4.66
اجملن	0.00
اجملوا	0.00
اجملي	0.00
اجن	2.70
اجناء	0.00
اجناب	1.77
اجناح	0.00
اجناد	2.82
اجناس	3.05
اجنان	0.00
اجنب	1.92
اجنبن	0.00
اجنبوا	0.00
اجنبي	4.09
اجنة	2.78
اجنح	1.10
اجنحة	3.98
اجندة	3.75
اجنف	0.00
اجهاد	3.24
اجهار	0.00
اجهاز	0.00
اجهاش	0.00
اجهاض	3.52
اجهام	0.00
اجهد	2.41
اجهدن	0.00
اجهدوا	0.00
اجهدي	0.00
اجهر	2.19
اجهرن	0.00
اجهروا	1.31
اجهري	0.00
اجهز	2.79
اجهزة	4.93
اجهش	2.23
اجهض	2.39
اجهل	3.86
اجهلن	0.00
اجهلوا	0.00
اجهلي	0.00
اجهم	0.00
اجواء	4.08
اجواخ	0.00
اجواد	2.16
اجواف	1.94
اجواق	0.00
اجوال	1.57
اجوام	0.00
اجوان	1.51
اجوبة	3.72
اجود	3.57
اجور	3.76
اجوزة	0.00
اجوف	2.81
اجونيدي	0.00
اجياد	2.44
اجياف	0.00
اجيال	4.02
اجيبت	1.99
اجيبي	3.48
اجيج	1.45
اجيد	3.44
اجير	2.81
اجيرات	0.00
اجيرت	0.00
اجيري	1.99
احابيل	1.14
احاج	1.32
احاجي	1.94
احاح	0.00
احاد	2.50
احادي	3.45
احاديث	4.13
احار	1.62
احارة	0.00
احارص	0.00
احاسن	1.04
احاط	3.23
احاطة	2.99
احاطت	2.99
احاطوا	2.52
احافير	2.27
احاق	1.12
احاقة	0.00
احاقق	0.00
احاكم	1.64
احال	3.12
احالة	3.48
احالت	2.47
احالوا	1.39
احالي	0.00
احاليل	0.00
احام	0.00
احب	5.22
احباء	2.91
احباب	3.52
احبار	2.47
احباس	1.39
احباش	1.31
احباط	3.76
احباك	0.00
احبال	2.12
احبة	2.80
احبس	2.40
احبط	2.94
احبطي	0.00
احبك	4.90
احبل	1.27
احبلن	0.00
احبلوا	0.00
احبلي	0.00
احبنطى	0.00
احبولة	1.57
احبي	2.10
احتاج	4.31
احتاجت	3.22
احتاجوا	2.81
احتاجي	0.00
احتار	2.61
احتاز	0.00
احتاط	1.97
احتاطت	0.00
احتاطوا	0.00
احتاطي	0.00
احتال	2.45
احتباس	3.01
احتبس	1.59
احتبى	0.00
احتج	3.51
احتجاب	2.11
احتجاج	3.78
احتجاز	3.83
احتجب	1.79
احتجز	3.27
احتجم	1.69
احتد	1.87
احتداد	1.66
احتدام	2.59
احتدم	2.50
احتذاء	1.61
احتذى	1.63
احتر	1.65
احتراز	1.91
احتراس	1.74
احتراف	3.14
احتراق	3.75
احترام	4.50
احترب	0.00
احتربتم	0.00
احتربتن	0.00
احتربنا	0.00
احتربي	0.00
احترز	1.33
احترس	2.75
احترف	2.84
احترق	3.50
احترم	3.41
احترمي	2.25
احتساء	2.69
احتساب	3.63
احتسب	2.89
احتسبي	1.46
احتسى	1.80
احتشاد	2.37
احتشام	2.00
احتشد	3.08
احتشدتم	0.00
احتشدتن	0.00
احتشدنا	0.00
احتشدي	0.00
احتشم	1.51
احتشى	0.00
احتضار	2.34
احتضان	3.41
احتضر	2.59
احتضن	3.13
احتط	0.00
احتطاب	0.00
احتطب	0.00
احتطتم	0.00
احتطتن	0.00
احتطن	0.00
احتطنا	0.00
احتظر	0.00
احتفاء	3.46
احتفاظ	2.93
احتفال	4.13
احتفالي	2.77
احتفر	1.15
احتفظ	3.88
احتفظي	2.45
احتفل	3.84
احتفلي	1.63
احتفى	2.84
احتقار	2.85
احتقان	2.98
احتقب	0.00
احتقر	2.45
احتقن	0.00
احتك	2.55
احتكار	3.67
احتكاك	3.47
احتكاكي	1.85
احتكام	1.93
احتكر	2.38
احتكم	1.63
احتل	4.03
احتلاب	0.00
احتلال	4.37
احتلام	1.30
احتلب	0.00
احتلم	1.48
احتلمتم	0.00
احتلمتن	0.00
احتلمنا	0.00
احتلمي	0.00
احتماء	1.69
احتمال	4.54
احتمل	3.02
احتملي	0.00
احتمى	2.53
احتو	1.13
احتواء	3.79
احتوت	3.45
احتوش	0.00
احتوى	3.36
احتياج	3.59
احتيار	1.09
احتياط	3.25
احتياطي	3.67
احتيال	3.57
احتيج	1.76
احتيجت	0.00
احتيجوا	0.00
احتيط	0.00
احث	2.37
احجاء	0.00
احجار	3.60
احجام	3.38
احجة	0.00
احجج	0.00
احججن	0.00
احجر	1.54
احجرن	0.00
احجروا	0.00
احجري	0.00
احجم	2.14
احجية	2.73
احد	5.98
احدئذ	0.00
احداء	0.00
احداب	0.00
احداث	4.91
احداق	1.64
احدان	0.00
احدب	2.55
احدث	4.60
احدثن	0.00
احدثوا	1.52
احدثي	0.00
احدذاك	0.00
احدق	2.54
احدوثة	1.31
احدودب	1.29
احدودبي	0.00
احدودق	0.00
احدودقي	0.00
احدى	5.37
احديداب	0.00
احذية	3.91
احر	3.35
احراء	0.00
احراج	3.15
احرار	4.06
احراز	3.47
احراق	3.55
احرام	1.96
احرب	1.33
احربن	0.00
احربوا	0.00
احربي	0.00
احرج	2.93
احرز	3.80
احرش	0.00
احرص	3.33
احرف	3.71
احرق	3.55
احرم	2.67
احرمي	0.00
احرنجم	0.00
احرنجمي	0.00
احرنشف	0.00
احرنشفي	0.00
احرنفز	0.00
احرنفزي	0.00
احرى	2.66
احرياء	0.00
احزاب	4.35
احزان	3.37
احزن	3.41
احس	4.26
احساء	1.15
احساب	1.41
احساس	4.10
احسان	3.88
احسن	4.64
احسنوا	2.10
احسني	2.43
احسي	0.00
احشاء	2.96
احشام	0.00
احصاء	3.87
احصائي	2.70
احصائية	3.72
احصان	0.00
احصرة	0.00
احصل	4.13
احصلن	0.00
احصلوا	2.09
احصلي	2.75
احصن	2.08
احصنة	3.07
احصى	2.99
احضار	3.69
احضان	3.57
احضر	3.94
احضرن	0.00
احضروا	2.78
احضري	2.74
احضنوا	1.21
احضني	2.17
احط	2.87
احطاب	0.00
احطط	0.00
احططن	0.00
احظ	2.12
احظوا	0.00
احظى	2.78
احظي	1.43
احظين	0.00
احفاد	3.82
احفار	0.00
احفاص	0.00
احفاض	0.00
احفر	2.63
احفرن	0.00
احفروا	1.68
احفري	1.01
احفظ	3.46
احفظن	0.00
احفظوا	2.38
احفظي	2.45
احفل	1.82
احفلن	0.00
احفلوا	0.00
احفلي	0.00
احفور	1.32
احق	3.43
احقاء	0.00
احقاب	1.75
احقاد	2.57
احقار	0.00
احقاق	2.44
احقب	0.00
احقد	2.08
احقر	2.85
احقوقف	0.00
احقوقفي	0.00
احقي	0.00
احقية	3.29
احك	2.45
احكام	4.44
احكك	0.00
احككن	0.00
احكم	3.39
احكمن	0.00
احكموا	2.20
احكمي	1.85
احكوا	1.38
احكون	0.00
احكى	2.00
احكي	3.50
احكين	0.00
احل	3.76
احلاء	0.00
احلاس	0.00
احلاف	2.16
احلاق	0.00
احلال	3.11
احلام	4.38
احلف	3.01
احلم	3.33
احلمن	0.00
احلموا	1.53
احلمي	1.88
احلولك	0.00
احلولى	0.00
احلى	4.01
احليل	1.36
احليلي	1.20
احم	3.12
احماء	2.38
احمار	1.57
احمارا	0.00
احمارت	0.00
احمارتا	0.00
احمارر	0.00
احماروا	0.00
احماري	0.00
احماض	0.00
احمال	2.82
احمد	5.59
احمدن	0.00
احمدوا	1.90
احمدي	3.44
احمر	4.51
احمرا	1.85
احمرار	3.12
احمرت	2.02
احمرتا	0.00
احمرر	0.00
احمررتم	0.00
احمررتن	0.00
احمررنا	0.00
احمروا	0.00
احمري	0.00
احمض	1.40
احمق	3.84
احمل	3.80
احملن	0.00
احملوا	2.18
احملي	1.94
احموا	2.12
احمى	1.95
احمي	3.45
احمين	0.00
احن	2.75
احناء	1.26
احناث	0.00
احناش	0.00
احناف	0.00
احناك	0.00
احنة	0.00
احنف	1.21
احنك	1.24
احنون	0.00
احنى	2.04
احو	1.14
احواج	0.00
احوار	0.00
احواض	3.39
احواف	0.00
احوال	3.95
احوج	3.10
احوجي	0.00
احور	2.05
احورار	0.00
احوط	1.38
احول	2.88
احولال	0.00
احولت	0.00
احولل	0.00
احوللتم	0.00
احوللتن	0.00
احوللنا	0.00
احولوا	0.00
احولي	0.00
احونصل	0.00
احووا	0.00
احوى	2.01
احوي	0.00
احوين	0.00
احي	2.12
احيا	3.78
احياء	4.62
احياد	0.00
احيار	0.00
احيال	0.00
احيانا	5.09
احيت	3.32
احيطت	2.35
احيطي	1.21
احيل	3.31
احيلت	2.78
احيلى	0.00
احيلي	0.00
احيوا	1.58
احيي	2.32
احيين	0.00
اخا	3.61
اخاء	2.23
اخادع	1.72
اخاديد	2.43
اخاذ	2.59
اخاسر	0.00
اخاصص	0.00
اخاطة	0.00
اخاف	4.20
اخافة	2.53
اخافت	1.97
اخافف	0.00
اخافوا	1.05
اخافي	0.00
اخال	2.11
اخاير	0.00
اخباء	0.00
اخبار	5.05
اخبت	0.00
اخبث	2.61
اخبر	4.39
اخبرن	0.00
اخبروا	2.47
اخبري	2.09
اخبز	1.26
